Time,Source,Destination,Banyak paket,Hasil Prediksi
0,10.180.8.50,8.8.8.8,74,0
0,8.8.8.8,10.180.8.50,74,0
1,10.180.8.50,8.8.8.8,74,0
1,8.8.8.8,10.180.8.50,74,0
2,10.180.8.50,8.8.8.8,74,0
2,8.8.8.8,10.180.8.50,74,0
3,10.180.8.50,8.8.8.8,74,0
3,8.8.8.8,10.180.8.50,74,0
4,10.180.8.50,8.8.8.8,74,0
4,8.8.8.8,10.180.8.50,74,0
5,10.180.8.50,8.8.8.8,74,0
5,8.8.8.8,10.180.8.50,74,0
6,10.180.8.50,8.8.8.8,74,0
6,8.8.8.8,10.180.8.50,74,0
7,10.180.8.50,8.8.8.8,74,0
7,8.8.8.8,10.180.8.50,74,0
8,10.180.8.50,8.8.8.8,74,0
8,8.8.8.8,10.180.8.50,74,0
9,10.180.8.50,8.8.8.8,74,0
9,8.8.8.8,10.180.8.50,74,0
10,10.180.8.50,8.8.8.8,74,0
10,8.8.8.8,10.180.8.50,74,0
